bloomberg_ticker,yahoo,data_provider,signals_ticker
7205 JP,7205.T,yahoo,7205.T
CSP LN,CSP.L,eodhd,CSP.LSE
8306 JP,8306.T,yahoo,8306.T
MC US,MC,eodhd,MC.US
ADS LN,,eodhd,ADS.LSE
ALAB US,,eodhd,ALAB.US
4385 JP,4385.T,yahoo,4385.T
FHB HB,,eodhd,FHB.BUD
ALM LN,,eodhd,ALM.LSE
3086 JP,3086.T,yahoo,3086.T
ASX AU,ASX.AX,eodhd,ASX.AU
RSA LN,,eodhd,RSA.LSE
CERS US,CERS,eodhd,CERS.US
BB CN,BB.TO,eodhd,BB.TO
CT US,,eodhd,CT.US
GFF US,GFF,eodhd,GFF.US
ASYT US,,eodhd,ASYT.US
MELE BB,MELE.BR,eodhd,MELE.BR
CWCO US,,eodhd,CWCO.US
4943 TT,,eodhd,4943.TW
2231 TT,2231.TW,eodhd,2231.TW
NCK AU,NCK.AX,eodhd,NCK.AU
HOGS US,,eodhd,HOGS.US
HERDEZ* MF,,eodhd,HERDEZ.MX
TNB US,,eodhd,TNB.US
2356 TT,2356.TW,eodhd,2356.TW
OTIS US,OTIS,eodhd,OTIS.US
EAR US,EAR,eodhd,EAR.US
M5Z GR,,eodhd,M5Z.XETRA
9022 JP,9022.T,yahoo,9022.T
SCST US,,eodhd,SCST.US
CLDA US,,eodhd,CLDA.US
COR IM,,eodhd,COR.MI
6464 JP,,yahoo,
TBNK US,,eodhd,TBNK.US
MSP US,MSP,eodhd,MSP.US
RCI US,,eodhd,RCI.US
4578 JP,4578.T,yahoo,4578.T
ABF US,,eodhd,ABF.US
PPC AU,,eodhd,PPC.AU
AFFM US,,eodhd,AFFM.US
4162 TT,4162.TWO,eodhd,4162.TWO
9048 JP,9048.T,yahoo,9048.T
3819 JP,,yahoo,
BAS US,,eodhd,BAS.US
9201 JP,9201.T,yahoo,9201.T
OBE CN,,eodhd,OBE.TO
BYI US,,eodhd,BYI.US
CHRW US,CHRW,eodhd,CHRW.US
DAL US,DAL,eodhd,DAL.US
IBLA SM,,eodhd,IBLA.MC
WMT US,WMT,eodhd,WMT.US
6875 JP,6875.T,yahoo,6875.T
PFS US,PFS,eodhd,PFS.US
093050 KS,,eodhd,093050.KQ
BAM/A CA,,ignore,
DANR IM,,eodhd,DANR.MI
SENS SW,SENS.SW,eodhd,SENS.SW
INTB SS,,eodhd,INTB.ST
NWAC US,,eodhd,NWAC.US
MAXR US,MAXR,eodhd,MAXR.US
HCBK US,,eodhd,HCBK.US
HGR US,,eodhd,HGR.US
1907 TT,,eodhd,1907.TW
TALO US,TALO,eodhd,TALO.US
2004 JP,,yahoo,
DOMO US,DOMO,eodhd,DOMO.US
RATOB SS,,eodhd,RATO-B.ST
HO FP,HO.PA,eodhd,HO.PA
SXX LN,,eodhd,SXX.LSE
UTZ US,UTZ,eodhd,UTZ.US
VLY US,VLY,eodhd,VLY.US
ADUS US,ADUS,eodhd,ADUS.US
QTWO US,QTWO,eodhd,QTWO.US
SFF CN,,eodhd,SFF.TO
1788 HK,,eodhd,1788.HK
PTI CN,,eodhd,PTI.TO
GABC US,GABC,eodhd,GABC.US
6571 JP,,yahoo,
RCL US,RCL,eodhd,RCL.US
AC CN,AC.TO,eodhd,AC.TO
TUG US,,eodhd,TUG.US
GRF/P SM,,eodhd,GRF-P.MC
2832 TT,,eodhd,2832.TW
092220 KS,,eodhd,092220.KQ
TCBK US,TCBK,eodhd,TCBK.US
RNA US,RNA,eodhd,RNA.US
CDD AU,,eodhd,CDD.AU
8586 JP,,yahoo,
TRLA US,,eodhd,TRLA.US
9422 JP,,yahoo,
WORK US,,eodhd,WORK.US
4919 TT,,eodhd,4919.TW
FSH CN,,eodhd,FSH.TO
JJZ US,,eodhd,JJZ.US
316 HK,0316.HK,eodhd,0316.HK
4047 JP,,yahoo,
OPB US,,eodhd,OPB.US
4435 JP,,yahoo,
7564 JP,7564.T,yahoo,7564.T
NBIX US,NBIX,eodhd,NBIX.US
WYND US,,eodhd,WYND.US
NFE US,NFE,eodhd,NFE.US
CSMG3 BZ,CSMG3.SA,eodhd,CSMG3.SA
BMR US,,eodhd,BMR.US
EXPR US,,eodhd,EXPR.US
9427 JP,,yahoo,
RADH SS,,eodhd,RADH.ST
EQNR NO,EQNR.OL,eodhd,EQNR.OL
GEG US,,eodhd,GEG.US
IDR SM,IDR.MC,eodhd,IDR.MC
108790 KS,,eodhd,108790.KQ
GGBR3 BZ,,eodhd,GGBR3.SA
